model_name,epoch,train_loss,test_loss,train_perplexity,test_perplexity
2021102040_ffnn_corpus1_N3,1,6.264320115065828,5.938066469048554,,
2021102040_ffnn_corpus1_N3,2,5.688589622443641,5.762840187774514,,
2021102040_ffnn_corpus1_N3,3,5.384332832430783,5.743052259931025,,
2021102040_ffnn_corpus1_N3,4,5.159730468453451,5.767427921295166,,
2021102040_ffnn_corpus1_N3,5,4.979174615637573,5.839904839137815,,
2021102040_ffnn_corpus1_N5,1,6.348273574586655,6.048495246268607,,
2021102040_ffnn_corpus1_N5,2,5.802988294047496,5.899899335809656,,
2021102040_ffnn_corpus1_N5,3,5.470847174321464,5.846895279755463,,
2021102040_ffnn_corpus1_N5,4,5.227761787267242,5.880342777355297,,
2021102040_ffnn_corpus1_N5,5,5.0280981201945245,5.936218821035849,,
2021102040_ffnn_corpus2_N3,1,7.495959259606737,7.307667796810468,,
2021102040_ffnn_corpus2_N3,2,7.120826187380675,7.313470751047134,,
2021102040_ffnn_corpus2_N3,3,6.911707224657557,7.453286210695903,,
2021102040_ffnn_corpus2_N3,4,6.738778687061521,7.601257676879565,,
2021102040_ffnn_corpus2_N3,5,6.594758539709426,7.768376852075259,,
2021102040_ffnn_corpus2_N5,1,7.553381336849956,7.437170549442894,,
2021102040_ffnn_corpus2_N5,2,7.1925730204619995,7.476460594879954,,
2021102040_ffnn_corpus2_N5,3,6.988662410084683,7.581056481913516,,
2021102040_ffnn_corpus2_N5,4,6.827839900876754,7.738668906061273,,
2021102040_ffnn_corpus2_N5,5,6.693374776802425,7.888829124601264,,
